industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,564
COMMUNICATIONS,A1,12
COMMUNICATIONS,CANCOM,12
COMMUNICATIONS,GROUP,18
COMMUNICATIONS,Group,24
COMMUNICATIONS,Hutchison,12
COMMUNICATIONS,Mediaprint,18
COMMUNICATIONS,Niederösterreichisches,12
COMMUNICATIONS,Optimus,12
COMMUNICATIONS,RegionalMedien,24
COMMUNICATIONS,SPL,12
COMMUNICATIONS,Salzburger,12
COMMUNICATIONS,Styria,24
COMMUNICATIONS,Subgroup,30
COMMUNICATIONS,Telekom,12
COMMUNICATIONS,Österreichischer,12
CONSUMER DISCRETIONARY,<NONE>,4326
CONSUMER DISCRETIONARY,ALCAR,24
CONSUMER DISCRETIONARY,ALLWYN,12
CONSUMER DISCRETIONARY,AUSTRIA,12
CONSUMER DISCRETIONARY,AVL,12
CONSUMER DISCRETIONARY,Alois,18
CONSUMER DISCRETIONARY,Anton,12
CONSUMER DISCRETIONARY,Austria,18
CONSUMER DISCRETIONARY,Auto,66
CONSUMER DISCRETIONARY,Autohaus,162
CONSUMER DISCRETIONARY,BMW,12
CONSUMER DISCRETIONARY,BRP-Rotax,12
CONSUMER DISCRETIONARY,Bauhaus,12
CONSUMER DISCRETIONARY,Bergbahn,24
CONSUMER DISCRETIONARY,Bergbahnen,30
CONSUMER DISCRETIONARY,Burgerista,12
CONSUMER DISCRETIONARY,COLUMBUS,24
CONSUMER DISCRETIONARY,Casinos,12
CONSUMER DISCRETIONARY,Centron,12
CONSUMER DISCRETIONARY,Christine,12
CONSUMER DISCRETIONARY,D.,18
CONSUMER DISCRETIONARY,Denzel,12
CONSUMER DISCRETIONARY,Diverse,12
CONSUMER DISCRETIONARY,Dorotheum,24
CONSUMER DISCRETIONARY,Englisch,12
CONSUMER DISCRETIONARY,Falkensteiner,18
CONSUMER DISCRETIONARY,FirmenABC,12
CONSUMER DISCRETIONARY,Franz,12
CONSUMER DISCRETIONARY,Frauenthal,18
CONSUMER DISCRETIONARY,GROUP,42
CONSUMER DISCRETIONARY,Gady,24
CONSUMER DISCRETIONARY,Gebetsroither,12
CONSUMER DISCRETIONARY,Grand,12
CONSUMER DISCRETIONARY,Group,234
CONSUMER DISCRETIONARY,HILFSWERK,12
CONSUMER DISCRETIONARY,Heinrich,12
CONSUMER DISCRETIONARY,Hirschmann,12
CONSUMER DISCRETIONARY,Hogast,18
CONSUMER DISCRETIONARY,Hotel,144
CONSUMER DISCRETIONARY,Huber,12
CONSUMER DISCRETIONARY,IKEA,18
CONSUMER DISCRETIONARY,INTERSPORT,12
CONSUMER DISCRETIONARY,Ing.,18
CONSUMER DISCRETIONARY,John,30
CONSUMER DISCRETIONARY,Josef,30
CONSUMER DISCRETIONARY,KIKA,12
CONSUMER DISCRETIONARY,KTM,24
CONSUMER DISCRETIONARY,Kromberg,18
