industry,separate_beginning,frequency
CONSUMER DISCRETIONARY,Kia,14
CONSUMER DISCRETIONARY,LPH,14
CONSUMER DISCRETIONARY,LUNA,14
CONSUMER DISCRETIONARY,Lekaren,168
CONSUMER DISCRETIONARY,M,42
CONSUMER DISCRETIONARY,MATADOR,14
CONSUMER DISCRETIONARY,MB,49
CONSUMER DISCRETIONARY,MD,14
CONSUMER DISCRETIONARY,MTBIKER,14
CONSUMER DISCRETIONARY,Miba,14
CONSUMER DISCRETIONARY,Motor-Car,14
CONSUMER DISCRETIONARY,Motorr,21
CONSUMER DISCRETIONARY,N,14
CONSUMER DISCRETIONARY,Nadacia,14
CONSUMER DISCRETIONARY,OMNIA,14
CONSUMER DISCRETIONARY,ORAVA,28
CONSUMER DISCRETIONARY,PHASE,14
CONSUMER DISCRETIONARY,PREMIUM,14
CONSUMER DISCRETIONARY,PRVY,14
CONSUMER DISCRETIONARY,Pod,14
CONSUMER DISCRETIONARY,Porsche,21
CONSUMER DISCRETIONARY,ROSERO,14
CONSUMER DISCRETIONARY,S,28
CONSUMER DISCRETIONARY,SATUR,14
CONSUMER DISCRETIONARY,SB,28
CONSUMER DISCRETIONARY,SBD,14
CONSUMER DISCRETIONARY,SG,14
CONSUMER DISCRETIONARY,SK,21
CONSUMER DISCRETIONARY,SORIA,14
CONSUMER DISCRETIONARY,SPOLOCENSTVO,28
CONSUMER DISCRETIONARY,SUBGROUP,28
CONSUMER DISCRETIONARY,SUNGWOO,14
CONSUMER DISCRETIONARY,SVB,217
CONSUMER DISCRETIONARY,SVBaNP,28
CONSUMER DISCRETIONARY,SYNERGY,14
CONSUMER DISCRETIONARY,Scania,14
CONSUMER DISCRETIONARY,Schaeffler,14
CONSUMER DISCRETIONARY,Skoda,14
CONSUMER DISCRETIONARY,Slovak,21
CONSUMER DISCRETIONARY,Slovensky,21
CONSUMER DISCRETIONARY,Spolocenstvo,70
CONSUMER DISCRETIONARY,Sprava,14
CONSUMER DISCRETIONARY,Subgroup,14
CONSUMER DISCRETIONARY,T.O.P.,28
CONSUMER DISCRETIONARY,TELUS,14
CONSUMER DISCRETIONARY,TEMPUS,28
CONSUMER DISCRETIONARY,TESCA,14
CONSUMER DISCRETIONARY,TRINITY,14
CONSUMER DISCRETIONARY,Tatry,14
CONSUMER DISCRETIONARY,Tempus,21
CONSUMER DISCRETIONARY,The,14
CONSUMER DISCRETIONARY,Todos,56
CONSUMER DISCRETIONARY,Toth,14
CONSUMER DISCRETIONARY,United,14
CONSUMER DISCRETIONARY,VERMONT,14
CONSUMER DISCRETIONARY,VIP,14
CONSUMER DISCRETIONARY,VOLKSWAGEN,14
CONSUMER DISCRETIONARY,Voltia,14
CONSUMER DISCRETIONARY,Vysoka,14
CONSUMER DISCRETIONARY,ZF,14
CONSUMER DISCRETIONARY,luuf,42
CONSUMER STAPLES,<NONE>,5187
CONSUMER STAPLES,A,14
CONSUMER STAPLES,AB,14
CONSUMER STAPLES,AGB,28
CONSUMER STAPLES,AGP,14
CONSUMER STAPLES,AGRO,196
CONSUMER STAPLES,AGRODRUZSTVO,14
CONSUMER STAPLES,AGROK,21
CONSUMER STAPLES,AGROPROFIT,14
CONSUMER STAPLES,AGROSPOL,35
CONSUMER STAPLES,AT,49
CONSUMER STAPLES,Agro,49
CONSUMER STAPLES,Agrodruzstvo,14
CONSUMER STAPLES,BENU,21
CONSUMER STAPLES,BONUM,14
CONSUMER STAPLES,BPS,14
CONSUMER STAPLES,COOP,98
CONSUMER STAPLES,D.A.,14
CONSUMER STAPLES,DOBROTA,14
CONSUMER STAPLES,Donau,49
CONSUMER STAPLES,Dr.Max,14
CONSUMER STAPLES,Druzstvo,42
CONSUMER STAPLES,EC,91
CONSUMER STAPLES,EKO,14
CONSUMER STAPLES,ELESKO,14
CONSUMER STAPLES,EURO,14
CONSUMER STAPLES,EXATA,21
CONSUMER STAPLES,F,14
CONSUMER STAPLES,FARMA,35
CONSUMER STAPLES,Farma,35
CONSUMER STAPLES,FirstFarms,35
CONSUMER STAPLES,GAMOTA,14
CONSUMER STAPLES,GROTTO,14
CONSUMER STAPLES,GROUP,70
CONSUMER STAPLES,Godany,14
CONSUMER STAPLES,Group,63
CONSUMER STAPLES,HYDINA,14
CONSUMER STAPLES,Heineken,21
CONSUMER STAPLES,Ing.,49
CONSUMER STAPLES,K,14
CONSUMER STAPLES,Kukkonia,14
CONSUMER STAPLES,LEKAREN,14
CONSUMER STAPLES,Lekaren,70
CONSUMER STAPLES,MECOM,14
CONSUMER STAPLES,MEDIAPRESS,14
CONSUMER STAPLES,MERKANTA,14
CONSUMER STAPLES,MSG,14
CONSUMER STAPLES,Medi-Pharm,21
CONSUMER STAPLES,Mgr.,14
CONSUMER STAPLES,Mlyn,21
CONSUMER STAPLES,Nova,14
CONSUMER STAPLES,OSIVO,14
CONSUMER STAPLES,P,14
CONSUMER STAPLES,PD,238
CONSUMER STAPLES,PHARMACY,14
CONSUMER STAPLES,POLNOHOSPODARSKE,14
CONSUMER STAPLES,POLNOPRODUKT,14
CONSUMER STAPLES,PPD,14
CONSUMER STAPLES,PRETO,14
CONSUMER STAPLES,PS,14
CONSUMER STAPLES,Podielnicke,14
CONSUMER STAPLES,Polnohosp.,14
CONSUMER STAPLES,Polnohospodarske,217
CONSUMER STAPLES,Polnonakup,14
CONSUMER STAPLES,RD,49
CONSUMER STAPLES,Robert,14
CONSUMER STAPLES,Rolnicka,14
CONSUMER STAPLES,Rolnicke,98
CONSUMER STAPLES,SAMOSKA,14
CONSUMER STAPLES,SANAGRO,14
CONSUMER STAPLES,SLOVENSKE,14
CONSUMER STAPLES,ST.,21
CONSUMER STAPLES,Sabol,14
CONSUMER STAPLES,Schultz,14
CONSUMER STAPLES,Slovenske,14
CONSUMER STAPLES,Slovensky,14
CONSUMER STAPLES,Spusta,21
CONSUMER STAPLES,Subgroup,28
CONSUMER STAPLES,TERNO,14
CONSUMER STAPLES,Tatranska,14
CONSUMER STAPLES,Zeleninarska,14
ENERGY,<NONE>,308
FINANCIALS,<NONE>,819
FINANCIALS,BYTOVE,14
FINANCIALS,DEVELOPMENT,14
FINANCIALS,HRIVIS,14
FINANCIALS,MOF,14
FINANCIALS,Penta,21
FINANCIALS,REAL,14
FINANCIALS,SVB,28
FINANCIALS,Spolocenstvo,14
FINANCIALS,Twin,14
HEALTH CARE,<NONE>,2219
HEALTH CARE,AGEL,21
HEALTH CARE,Alpha,14
HEALTH CARE,BIOHEM,14
HEALTH CARE,Bohdal,14
HEALTH CARE,DENTLY,14
HEALTH CARE,DPD,14
HEALTH CARE,Dom,14
HEALTH CARE,Family,35
HEALTH CARE,GROUP,14
HEALTH CARE,Group,84
HEALTH CARE,HardWood,14
HEALTH CARE,IBD,14
HEALTH CARE,InterMedical,14
HEALTH CARE,MEDICAL,14
HEALTH CARE,Medirex,14
HEALTH CARE,Mestska,14
HEALTH CARE,Nemocnica,84
HEALTH CARE,NsP,42
HEALTH CARE,ORL,14
HEALTH CARE,Penta,21
HEALTH CARE,Pohoda,14
HEALTH CARE,Poliklinika,21
HEALTH CARE,SLK,14
HEALTH CARE,SUBGROUP,21
HEALTH CARE,Schill,28
HEALTH CARE,Senior,14
HEALTH CARE,Subgroup,28
HEALTH CARE,Svet,14
HEALTH CARE,UNOMED,14
HEALTH CARE,Vranovska,14
INDUSTRIALS,<NONE>,12474
INDUSTRIALS,1.,21
INDUSTRIALS,3PACK,14
INDUSTRIALS,A&T,14
INDUSTRIALS,A-Z,14
INDUSTRIALS,AGRO,14
INDUSTRIALS,ARRIVA,28
INDUSTRIALS,ASSA,14
INDUSTRIALS,AUTO,14
INDUSTRIALS,AWU,14
INDUSTRIALS,Accace,14
INDUSTRIALS,Arca,14
INDUSTRIALS,Autodoprava,14
INDUSTRIALS,Autoklub,14
INDUSTRIALS,B&B,14
INDUSTRIALS,BADUCCI,14
INDUSTRIALS,BDO,35
INDUSTRIALS,BETA,14
INDUSTRIALS,BHG,14
INDUSTRIALS,BIS,14
INDUSTRIALS,BL,14
INDUSTRIALS,BTG,14
INDUSTRIALS,BTS,14
INDUSTRIALS,BUDAMAR,21
INDUSTRIALS,Bauer,14
INDUSTRIALS,Bittner,21
INDUSTRIALS,Brantner,70
INDUSTRIALS,CARGO,14
INDUSTRIALS,CD,14
INDUSTRIALS,CENTEX,14
INDUSTRIALS,CEVA,21
INDUSTRIALS,CLA,14
INDUSTRIALS,CSO,21
INDUSTRIALS,Caterpillar,14
INDUSTRIALS,Centrum,14
INDUSTRIALS,Cor,14
INDUSTRIALS,Curaj,14
INDUSTRIALS,DELTA,14
INDUSTRIALS,DHL,28
INDUSTRIALS,DOKA,14
INDUSTRIALS,DS,28
INDUSTRIALS,Dopravny,14
INDUSTRIALS,E,21
INDUSTRIALS,ECM,21
INDUSTRIALS,EKOLOR,14
INDUSTRIALS,EKOTECHNA,14
INDUSTRIALS,ELVOD,14
INDUSTRIALS,ENERGY,14
INDUSTRIALS,EUROCAM,14
INDUSTRIALS,EXMONT,14
INDUSTRIALS,EXPLAST,14
INDUSTRIALS,East,14
INDUSTRIALS,Effective,21
INDUSTRIALS,Eurofins,14
INDUSTRIALS,Express,14
INDUSTRIALS,FCC,35
INDUSTRIALS,FRADEX,14
INDUSTRIALS,Falck,14
INDUSTRIALS,G4S,21
INDUSTRIALS,GIM,14
INDUSTRIALS,GMT,14
INDUSTRIALS,GROUP,91
INDUSTRIALS,Gasparek,14
INDUSTRIALS,Group,154
INDUSTRIALS,HB,14
INDUSTRIALS,HOCHTIEF,14
INDUSTRIALS,HOMOLA,14
INDUSTRIALS,HS,14
INDUSTRIALS,Heneken,14
INDUSTRIALS,IKO,14
INDUSTRIALS,IN,42
INDUSTRIALS,INVESTEX,14
INDUSTRIALS,ITALIANA,14
INDUSTRIALS,Ing.,49
INDUSTRIALS,JL,14
INDUSTRIALS,JRK,14
INDUSTRIALS,JUT,21
INDUSTRIALS,KAMI,14
INDUSTRIALS,KB,14
INDUSTRIALS,KMGroup,14
INDUSTRIALS,KONSTRUKTA,14
INDUSTRIALS,KOSIT,35
INDUSTRIALS,KOVO,14
INDUSTRIALS,KOVOSTROJ,14
INDUSTRIALS,KPMG,21
INDUSTRIALS,KVANT,14
INDUSTRIALS,Kovac,14
INDUSTRIALS,LDM,21
INDUSTRIALS,Lagermax,14
INDUSTRIALS,Lentimex,14
INDUSTRIALS,Letisko,14
INDUSTRIALS,Liska,14
INDUSTRIALS,M,14
INDUSTRIALS,M.G.M.,14
INDUSTRIALS,MACH,14
INDUSTRIALS,MAYER,21
INDUSTRIALS,MFC,14
INDUSTRIALS,MK,14
INDUSTRIALS,MOREAU,14
INDUSTRIALS,MP,21
INDUSTRIALS,MPL,21
INDUSTRIALS,MSM,35
INDUSTRIALS,MT,14
INDUSTRIALS,MaS,14
INDUSTRIALS,Marek,14
INDUSTRIALS,Martin,14
INDUSTRIALS,Merschitz,14
INDUSTRIALS,Metrostav,14
INDUSTRIALS,MicroStep,21
INDUSTRIALS,Muehlbauer,14
INDUSTRIALS,Nadacia,14
INDUSTRIALS,Nagy,21
INDUSTRIALS,OZO,14
INDUSTRIALS,Optifin,14
INDUSTRIALS,POLLAK,14
INDUSTRIALS,PPA,42
INDUSTRIALS,PPS,21
INDUSTRIALS,PRVA,14
INDUSTRIALS,PS,21
INDUSTRIALS,Pavlu,14
INDUSTRIALS,Peter,21
INDUSTRIALS,Plulik,14
INDUSTRIALS,Power,21
INDUSTRIALS,Profi,21
INDUSTRIALS,RAIS,14
INDUSTRIALS,RAVEN,14
INDUSTRIALS,REGOS,14
INDUSTRIALS,RENTAL,14
INDUSTRIALS,REYLON,14
INDUSTRIALS,RM,14
INDUSTRIALS,RS,14
INDUSTRIALS,RUDOS,14
INDUSTRIALS,Rail,21
INDUSTRIALS,Railtrans,14
INDUSTRIALS,Repka,14
INDUSTRIALS,Riho,14
INDUSTRIALS,SERVIS,14
INDUSTRIALS,SITNO,14
INDUSTRIALS,SK,14
INDUSTRIALS,SLOV,14
INDUSTRIALS,SLOVAKIA,14
INDUSTRIALS,SMART,14
INDUSTRIALS,STEEL,14
INDUSTRIALS,STK,21
INDUSTRIALS,STM,14
INDUSTRIALS,STRABAG,49
INDUSTRIALS,SWS,14
INDUSTRIALS,Slovak,21
INDUSTRIALS,Slovenska,56
INDUSTRIALS,Socialny,21
INDUSTRIALS,Stacho,14
INDUSTRIALS,Stavflex,14
INDUSTRIALS,Subgroup,21
INDUSTRIALS,TATRAVAGONKA,21
INDUSTRIALS,TOP,21
INDUSTRIALS,TPA,21
INDUSTRIALS,TRANS,14
INDUSTRIALS,TSS,14
INDUSTRIALS,Talent,21
INDUSTRIALS,Technicke,21
INDUSTRIALS,Trade,14
INDUSTRIALS,TransLog,14
INDUSTRIALS,UNICO,14
INDUSTRIALS,VAP,14
INDUSTRIALS,VIP,14
INDUSTRIALS,VODOHOSPODARSKE,14
INDUSTRIALS,VR,14
INDUSTRIALS,Virtual,14
INDUSTRIALS,Vyskumny,14
INDUSTRIALS,WERTHEIM,21
INDUSTRIALS,Wood,14
INDUSTRIALS,ZOS,28
INDUSTRIALS,ZTS,21
INDUSTRIALS,ZVS,14
INDUSTRIALS,Zacharova,14
INDUSTRIALS,Zdruzenie,14
INDUSTRIALS,Zeleznicna,14
INFORMATION TECHNOLOGY,<NONE>,1911
INFORMATION TECHNOLOGY,Asseco,14
INFORMATION TECHNOLOGY,DXC,14
INFORMATION TECHNOLOGY,Datapac,14
INFORMATION TECHNOLOGY,GROUP,28
INFORMATION TECHNOLOGY,Hudec,14
INFORMATION TECHNOLOGY,IBM,14
INFORMATION TECHNOLOGY,MOVYS,14
INFORMATION TECHNOLOGY,Raiffeisen,14
INFORMATION TECHNOLOGY,Subgroup,14
INFORMATION TECHNOLOGY,TITANS,14
MATERIALS,<NONE>,2366
MATERIALS,CEMMAC,14
MATERIALS,CHEMOSVIT,14
MATERIALS,GROUP,42
MATERIALS,Gasparikova,14
MATERIALS,Group,14
MATERIALS,HSH,14
MATERIALS,IMS,14
MATERIALS,IT,14
MATERIALS,Ing.,14
MATERIALS,KOVOHUTY,14
MATERIALS,LUTRANS,14
MATERIALS,Lesne,14
MATERIALS,Messer,14
MATERIALS,Mestske,28
MATERIALS,PREFA,14
MATERIALS,SCP,14
MATERIALS,STAVMAT,14
MATERIALS,STEEL,14
MATERIALS,Stercorat,14
MATERIALS,Subgroup,14
MATERIALS,UND,14
MATERIALS,Vitalo,14
MATERIALS,ZP,14
NOT RELEVANT,<NONE>,6447
NOT RELEVANT,APOLLO,14
NOT RELEVANT,Benovic,14
NOT RELEVANT,Blaskovic,14
NOT RELEVANT,Brecka,14
NOT RELEVANT,CK,14
NOT RELEVANT,COOP,21
NOT RELEVANT,CZ,14
NOT RELEVANT,DAN,14
NOT RELEVANT,DP,21
NOT RELEVANT,Dadulak,14
NOT RELEVANT,EKOLEKAREN,14
NOT RELEVANT,Fischer,14
NOT RELEVANT,GROUP,49
NOT RELEVANT,Grman,14
NOT RELEVANT,Group,35
NOT RELEVANT,Horvath,14
NOT RELEVANT,Hrabovsky,14
NOT RELEVANT,Hrivnak,14
NOT RELEVANT,ITB,14
NOT RELEVANT,Ing.,28
NOT RELEVANT,Ivan,14
NOT RELEVANT,JUDr.,14
NOT RELEVANT,Jakub,14
NOT RELEVANT,K&K,28
NOT RELEVANT,KK,14
NOT RELEVANT,Kovac,14
NOT RELEVANT,Kovacik,21
NOT RELEVANT,Kubala,14
NOT RELEVANT,Lazar,14
NOT RELEVANT,Mgr.,14
NOT RELEVANT,Novak,21
NOT RELEVANT,PD,28
NOT RELEVANT,Polnohospodarske,14
NOT RELEVANT,REAL,14
NOT RELEVANT,Rimsko-kat.,14
NOT RELEVANT,SEZ,14
NOT RELEVANT,Salat,14
NOT RELEVANT,Slanina,14
NOT RELEVANT,Slovensky,28
NOT RELEVANT,Stano,14
NOT RELEVANT,Tibor,14
NOT RELEVANT,Urban,21
NOT RELEVANT,Varga,28
NOT RELEVANT,Vyskumny,14
NOT RELEVANT,W,14
NOT RELEVANT,Weber,14
REAL ESTATE,<NONE>,2765
REAL ESTATE,BEST,14
REAL ESTATE,CTPark,21
REAL ESTATE,Druzstvo,14
REAL ESTATE,FINEP,14
REAL ESTATE,FINHOSP,14
REAL ESTATE,Group,28
REAL ESTATE,HB,35
REAL ESTATE,HOTEL,14
REAL ESTATE,IMA,14
REAL ESTATE,Immocap,14
REAL ESTATE,Kovac,21
REAL ESTATE,Labaj,28
REAL ESTATE,M-MARKET,14
REAL ESTATE,MS,14
REAL ESTATE,MTS,14
REAL ESTATE,Obchodny,14
REAL ESTATE,RESIDENT,14
REAL ESTATE,Reality,21
REAL ESTATE,Rezidencia,14
REAL ESTATE,SIRS,21
REAL ESTATE,SLNECNICE,14
REAL ESTATE,SVB,63
REAL ESTATE,Spolocenstvo,28
REAL ESTATE,Subgroup,21
REAL ESTATE,V,21
UTILITIES,<NONE>,924
UTILITIES,ASTOM,14
UTILITIES,BPS,21
UTILITIES,ENERGY,14
UTILITIES,Energy,14
UTILITIES,Group,35
UTILITIES,KOMTERM,14
UTILITIES,MAGNA,14
UTILITIES,PPA,14
UTILITIES,PPC,14
UTILITIES,PV,35
UTILITIES,RIGHT,21
UTILITIES,SPP,14
UTILITIES,STEFE,63
UTILITIES,SUBGROUP,35
UTILITIES,Stredoslovenska,14
UTILITIES,Subgroup,28
UTILITIES,Teplarne,14
UTILITIES,Veolia,42
UTILITIES,ZSE,21
UTILITIES,Zapadoslovenska,21
UTILITIES,esi,28
UTILITIES,green,14
industry,<NONE>,6
