name,place_category,frequency
Aavaviken,concave shoreline,1
Abild,populated place,1
Acksjön,basin,9
Adbodarna,populated place,1
Afvasjön,basin,2
Agentjärn,basin,1
Aggnäs,populated place,1
Aggön,convex shoreline,1
Agnetaryd,populated place,1
Aime,elevation,1
Ainavardo,elevation,1
Ajsjaur,basin,1
Akkapakte,populated place,1
Aktseberg,populated place,1
Ala Pårro,elevation,1
Alabo,populated place,1
Alanen Lulimus,elevation,1
Alby,populated place,1
Alen,elevation,1
Alevikkilen,basin,1
Algryt,populated place,1
Alholmen,island,3
Alle Mattaure,basin,1
Allejaurälven,stream,1
Allervat,elevation,1
Allesätno,stream,1
Allgunnås,populated place,1
Allsarpasjön,basin,1
Almesjö,populated place,1
Almseleberget,elevation,1
Almusholmarna,island,1
Alnö,island,1
Alo Fiärd,concave shoreline,1
Alsjön,basin,1
Alskäret,island,1
Alsträsket,basin,1
Alsundskobben,island,1
Alsätersjön,basin,1
Alvsta Långholmar,island,1
Aläng,populated place,1
Anderholmarna,island,1
Andsjön,basin,2
Andträsket,basin,1
Anjona,elevation,1
Annefors,populated place,2
Annerössle,populated place,1
Annrötsle,populated place,1
Antilaberget,elevation,1
Antjärn,populated place,1
Anundsjöån,stream,1
Anviksjön,basin,1
Apelgården,populated place,1
Aptasvuoma,marsh,1
Arbodaön,island,1
Arboga,populated place,1
Arfsnisstjärn,basin,1
Arfvet,populated place,1
Arlom,populated place,1
Arvberget,elevation,1
Arvsälsvalen,stream,1
Arvträsket,basin,1
Asbysand,populated place,1
Askerön,island,1
Askskärsfjärd,concave shoreline,1
Askskärsviken,concave shoreline,1
Asparna,populated place,1
Aspberget,populated place,2
Aspenäs,populated place,1
Aspön,island,6
Assmundsbruk,populated place,1
Atra River,stream,1
Avagrund,elevation,1
Avagrundet,underwater elevation,1
Avagrunn,elevation,1
Avan,convex shoreline,1
Avardo,elevation,1
Axelstorp,populated place,1
Backabro,populated place,1
Backen,populated place,1
Backnilsbo,populated place,1
Backsjön,basin,1
Backvicken,populated place,1
Backåkra,populated place,1
Badasjöarna,basin,1
