name,frequency,origin,gendered
Adamova,120,patronymic,y
Agostonova,9,patronymic,y
Akoszeva,39,patronymic,y
Almoszeva,6,patronymic,y
Aloisova,20,patronymic,y
Andelova,14,patronymic,y
Andjelova,19,patronymic,y
Andorova,15,patronymic,y
Andraszeva,253,patronymic,y
Antalova,31,patronymic,y
Balazseva,118,patronymic,y
Balnoszi,5,toponymic (noble),n
Balnoszska,20,toponymic (common),y
Bartolova,5,patronymic,y
Bertalanova,19,patronymic,y
Bogdanova,39,patronymic,y
Bogoljubova,31,patronymic,y
Bogumilova,25,patronymic,y
Boguslavova,20,patronymic,y
Bojanova,108,patronymic,y
Borislavova,58,patronymic,y
Borisova,132,patronymic,y
Borivojeva,5,patronymic,y
Borkova,9,patronymic,y
Bozsenova,4,patronymic,y
Bozsidarova,33,patronymic,y
Branimirova,72,patronymic,y
Branislavova,156,patronymic,y
Brankova,230,patronymic,y
Bratislavova,28,patronymic,y
Bronislavova,4,patronymic,y
Budjimirova,12,patronymic,y
Budjislavova,4,patronymic,y
Cigan,30,ethnicity,n
Ciganova,30,ethnicity,y
Czelenici,5,toponymic (noble),n
Czelenicka,20,toponymic (common),y
Czeslavova,6,patronymic,y
Czex,30,ethnicity,n
Czexova,30,ethnicity,y
Czigraj,5,toponymic (noble),n
Czigranska,20,toponymic (common),y
Czihomilova,42,patronymic,y
Czihomirova,12,patronymic,y
Daliborova,34,patronymic,y
Damjanova,12,patronymic,y
Daneva,13,patronymic,y
Dankova,11,patronymic,y
Danova,14,patronymic,y
Darkova,190,patronymic,y
Davidova,190,patronymic,y
Davorova,131,patronymic,y
Deneszeva,18,patronymic,y
Djejanova,248,patronymic,y
Djordjeva,226,patronymic,y
Djulova,135,patronymic,y
Dobrivojeva,10,patronymic,y
Dobroslavova,5,patronymic,y
Domagojeva,63,patronymic,y
Dominikova,34,patronymic,y
Donatova,4,patronymic,y
Droganova,488,patronymic,y
Drogoljubova,60,patronymic,y
Drogomirova,16,patronymic,y
Drogoslavova,43,patronymic,y
Droguczinova,49,patronymic,y
Drozsenova,65,patronymic,y
Drozsinj,5,toponymic (noble),n
Drozsinska,20,toponymic (common),y
Duszanova,127,patronymic,y
Duszkova,8,patronymic,y
Endreva,49,patronymic,y
Enjeva,83,patronymic,y
Ernova,20,patronymic,y
Ferenceva,266,patronymic,y
Filypova,140,patronymic,y
Franceva,22,patronymic,y
Frankova,7,patronymic,y
Gaborova,226,patronymic,y
Gergejeva,98,patronymic,y
Gnilovodska,20,toponymic (common),y
Goranova,390,patronymic,y
Gordanova,46,patronymic,y
Greczin,30,ethnicity,n
Grek,30,ethnicity,n
Grekova,30,ethnicity,y
Grezdenji,5,toponymic (noble),n
Grezdenska,20,toponymic (common),y
Grodjimirova,6,patronymic,y
Gronczarj,30,occupation,n
Gronczarjeva,30,occupation,y
Gvjezdanova,4,patronymic,y
Hajduk,20,military,n
Hajdukova,20,military,y
Husar,20,military,n
Husarova,20,military,y
Ilijeva,68,patronymic,y
Imreva,173,patronymic,y
Isztvanova,333,patronymic,y
Ivova,203,patronymic,y
Jadranova,16,patronymic,y
Jakobova,156,patronymic,y
Janoszeva,256,patronymic,y
Janova,730,patronymic,y
Jaromirova,49,patronymic,y
Jaroslavova,303,patronymic,y
Jaximova,5,patronymic,y
Jonasova,8,patronymic,y
Jozsefova,1000,patronymic,y
Karlova,32,patronymic,y
Karolova,332,patronymic,y
Kazimirova,6,patronymic,y
Komarovici,5,toponymic (noble),n
Komarovicka,20,toponymic (common),y
Kornelova,11,patronymic,y
Kostova,12,patronymic,y
Kovacz,30,occupation,n
Kovaczeva,30,occupation,y
Kresimirova,36,patronymic,y
Kristova,36,patronymic,y
Krojacz,30,occupation,n
Krojaczeva,30,occupation,y
Kupceva,30,occupation,y
Kupec,30,occupation,n
Lajoszeva,168,patronymic,y
Laslova,386,patronymic,y
Ljubanova,29,patronymic,y
Ljubinova,4,patronymic,y
Ljubomirova,114,patronymic,y
Ljuboszeva,19,patronymic,y
Ljuszeva,30,ethnicity,y
Ljux,30,ethnicity,n
Lorinceva,9,patronymic,y
Lukova,120,patronymic,y
Madjar,30,ethnicity,n
Madjarova,30,ethnicity,y
Maksimova,7,patronymic,y
Manuelova,11,patronymic,y
Marekova,104,patronymic,y
Marianova,174,patronymic,y
Marinova,77,patronymic,y
Markova,429,patronymic,y
Martonova,65,patronymic,y
Martynova,409,patronymic,y
Meljnik,30,occupation,n
Meljnikova,30,occupation,y
Mikloszeva,103,patronymic,y
Miladjinova,14,patronymic,y
Milanova,657,patronymic,y
Milivojeva,4,patronymic,y
Miljanova,12,patronymic,y
Milodrogova,125,patronymic,y
Milomirova,25,patronymic,y
Miloradova,97,patronymic,y
Miloslavova,71,patronymic,y
Miloszeva,114,patronymic,y
Milovanova,48,patronymic,y
Miluczinova,47,patronymic,y
Mirkova,157,patronymic,y
Miroljubova,41,patronymic,y
Miroslavova,495,patronymic,y
Mirova,23,patronymic,y
Mislavova,32,patronymic,y
Mixaelova,49,patronymic,y
Mjusarj,30,occupation,n
Mjusarjeva,30,occupation,y
Mlodenova,181,patronymic,y
Mlynarj,30,occupation,n
Mlynarjeva,30,occupation,y
Mojmirova,4,patronymic,y
Nikolova,384,patronymic,y
Njegovanova,5,patronymic,y
Njemceva,30,ethnicity,y
Njemczin,30,ethnicity,n
Njemec,30,ethnicity,n
Obradova,9,patronymic,y
Ognjenova,37,patronymic,y
Ozrenova,6,patronymic,y
Palova,120,patronymic,y
Pastyrj,30,occupation,n
Pastyrjeva,30,occupation,y
Pavlova,544,patronymic,y
Pekarj,30,occupation,n
Pekarjeva,30,occupation,y
Petrova,1190,patronymic,y
Pjevceva,30,occupation,y
Pjevec,30,occupation,n
Poljak,30,ethnicity,n
Poljakova,30,ethnicity,y
Puczaj,5,toponymic (noble),n
Puczanska,20,toponymic (common),y
Racz,30,ethnicity,n
Raczeva,30,ethnicity,y
Raczimirova,15,patronymic,y
Raczin,30,ethnicity,n
Radekova,101,patronymic,y
Radenova,5,patronymic,y
Radjivojeva,18,patronymic,y
Radkova,4,patronymic,y
Radmilova,11,patronymic,y
Radomilova,6,patronymic,y
Radomirova,50,patronymic,y
Radoslavova,88,patronymic,y
Radova,41,patronymic,y
Radovanova,77,patronymic,y
Radymova,47,patronymic,y
Rajkova,50,patronymic,y
Rankova,49,patronymic,y
Romanova,129,patronymic,y
Rosczislavova,27,patronymic,y
Rybarj,30,occupation,n
Rybarjeva,30,occupation,y
Sandorova,167,patronymic,y
Simonova,9,patronymic,y
Skorczinj,5,toponymic (noble),n
Skorczinska,20,toponymic (common),y
Slavenova,28,patronymic,y
Slavkova,84,patronymic,y
Slobodanova,254,patronymic,y
Slodanova,6,patronymic,y
Smiljanova,8,patronymic,y
Stanislavova,118,patronymic,y
Stankova,55,patronymic,y
Stefanova,58,patronymic,y
Stojanova,25,patronymic,y
Svjeczimirova,9,patronymic,y
Svjeczislavova,18,patronymic,y
Svjetlanova,4,patronymic,y
Svjetoplokova,11,patronymic,y
Svjetozarova,24,patronymic,y
Szamenici,5,toponymic (noble),n
Szamenicka,20,toponymic (common),y
Tadejeva,5,patronymic,y
Tamaszeva,199,patronymic,y
Teodorova,12,patronymic,y
Tepelej,5,toponymic (noble),n
Tepeljska,20,toponymic (common),y
Tesarj,30,occupation,n
Tesarjeva,30,occupation,y
Tkacz,30,occupation,n
Tkaczeva,30,occupation,y
Tkadeljceva,30,occupation,y
Tkadlec,30,occupation,n
Tomaszeva,255,patronymic,y
Tot,30,ethnicity,n
Totova,30,ethnicity,y
Turczin,30,ethnicity,n
Turk,30,ethnicity,n
Turkova,30,ethnicity,y
Tyborova,164,patronymic,y
Vaclavova,147,patronymic,y
Valentynova,4,patronymic,y
Veliborova,25,patronymic,y
Velimirova,56,patronymic,y
Veljkova,53,patronymic,y
Venc,30,ethnicity,n
Venceva,30,ethnicity,y
Veselinova,27,patronymic,y
Veselova,5,patronymic,y
Vilemova,9,patronymic,y
Vilmoszeva,36,patronymic,y
Visztici,5,toponymic (noble),n
Viszticka,20,toponymic (common),y
Vitezlavova,18,patronymic,y
Vitomirova,26,patronymic,y
Vitova,27,patronymic,y
Vjekoslavova,31,patronymic,y
Vlajkova,7,patronymic,y
Vlodanova,65,patronymic,y
Vlodjimirova,483,patronymic,y
Vlodjislavova,40,patronymic,y
Vlodova,71,patronymic,y
Vlosczimilova,57,patronymic,y
Vlosczimirova,15,patronymic,y
Vlosczislavova,7,patronymic,y
Vloszin,30,ethnicity,n
Vlotkova,20,patronymic,y
Vlox,30,ethnicity,n
Vloxova,30,ethnicity,y
Voislavova,79,patronymic,y
Vojkova,5,patronymic,y
Xrovat,30,ethnicity,n
Xrovatova,30,ethnicity,y
Zarislavova,9,patronymic,y
Zarkova,36,patronymic,y
Zdjenkova,142,patronymic,y
Zdjenkova,69,patronymic,y
Zdjeslavova,11,patronymic,y
Zdrovenova,131,patronymic,y
Zjelimirova,8,patronymic,y
Zjeljova,157,patronymic,y
Zlotanova,8,patronymic,y
Zlotkova,126,patronymic,y
Zlotyborova,6,patronymic,y
Zoltanova,247,patronymic,y
Zselimirova,11,patronymic,y
Zseljeva,34,patronymic,y
Zsigmondova,17,patronymic,y
Zsivkova,13,patronymic,y
Zsivoradova,6,patronymic,y
Zslutovodska,20,toponymic (common),y
Zslutovodyj,5,toponymic (noble),n
