place_category,separate_beginning,frequency
area,<NONE>,2
stream,<NONE>,219
strait,<NONE>,2
populated place,<NONE>,799
marsh,<NONE>,13
elevation,<NONE>,357
elevated area,<NONE>,15
depression,<NONE>,33
convex shoreline,<NONE>,7
island,<NONE>,32
basin,<NONE>,20
concave shoreline,<NONE>,26
island,Arta,2
populated place,Babin,2
elevation,Babin,2
elevation,Crna,5
elevation,Crvene,2
elevation,Debelo,6
populated place,Desni,2
stream,Dobra,2
populated place,Donja,10
populated place,Donje,7
populated place,Donji,12
concave shoreline,Draga,3
concave shoreline,Driveni,2
concave shoreline,Duga,2
elevation,Gola,4
populated place,Gornja,9
populated place,Gornje,7
convex shoreline,Gornji,2
populated place,Gornji,19
island,Hrid,2
elevation,Hrid,4
basin,Jezero,4
stream,Kamešnica,2
populated place,Kapela,2
populated place,Kod,2
convex shoreline,Koromačna,2
depression,Kriva,3
populated place,Križevački,2
concave shoreline,Luka,41
basin,Luka,7
populated place,Lukavec,2
elevation,Mala,6
stream,Mala,2
concave shoreline,Mala,2
populated place,Mala,5
elevation,Mali,14
island,Mali,3
populated place,Mali,2
populated place,Markovac,2
populated place,Nova,2
populated place,Novo,18
elevation,Obla,2
elevation,Orlov,2
elevation,Ostrvo,2
island,Ostrvo,36
island,Otok,36
island,Otočić,56
island,Otočići,5
elevation,Oštra,5
populated place,Perkovci,2
underwater elevation,Pličina,6
elevation,Popovića,2
concave shoreline,Port,6
basin,Port,2
populated place,Posavska,2
strait,Prolaz,4
elevation,Ravna,3
depression,Ravna,2
populated place,Račički,2
convex shoreline,Rt,76
elevation,Ruda,2
populated place,Srednji,2
stream,Stara,2
elevation,Stari,2
populated place,Stari,4
concave shoreline,Starigradski,2
populated place,Staro,2
concave shoreline,Stiniva,2
populated place,Stubički,2
stream,Studeno,2
depression,Topla,2
basin,Uvala,3
concave shoreline,Uvala,164
island,Veli,3
populated place,Velika,6
stream,Velika,6
elevation,Velika,8
elevation,Veliki,21
populated place,Veliki,5
populated place,Veliko,2
basin,Veliko,2
elevated area,Veliko,2
concave shoreline,Zaliv,10
concave shoreline,Zaljev,2
