place_category,beginning
basin,Bla
basin,Blan
basin,Blanc
basin,Blanca
basin,Cab
basin,Cabr
basin,Cabri
basin,Cabrit
basin,Chi
basin,Chic
basin,Chica
basin,Gal
basin,Gall
basin,Galle
basin,Galleg
basin,Jan
basin,Jand
basin,Jandi
basin,Jandil
basin,Jun
basin,Junc
basin,Junco
basin,Juncos
basin,Lag
basin,Lagu
basin,Lagun
basin,Laguna
basin,Lar
basin,Larg
basin,Larga
basin,Luc
basin,Lucí
basin,Lucía
basin,Muñ
basin,Muña
basin,Pel
basin,Pela
basin,Pelan
basin,Pelanc
basin,Sal
basin,Sali
basin,Salin
basin,Salina
concave shoreline,Bin
concave shoreline,Bini
concave shoreline,Binil
concave shoreline,Binill
concave shoreline,Bon
concave shoreline,Bona
concave shoreline,Cap
concave shoreline,Capi
concave shoreline,Capit
concave shoreline,Capitá
concave shoreline,Cla
concave shoreline,Clar
concave shoreline,Clara
concave shoreline,Ent
concave shoreline,Entu
concave shoreline,Entug
concave shoreline,Entugo
concave shoreline,Est
concave shoreline,Estr
concave shoreline,Estre
concave shoreline,Estrem
concave shoreline,Jin
concave shoreline,Jino
concave shoreline,Jinog
concave shoreline,Jinoge
concave shoreline,Mar
concave shoreline,Mary
concave shoreline,Marym
concave shoreline,Marymo
concave shoreline,Nue
concave shoreline,Nuev
concave shoreline,Nuevo
concave shoreline,Pet
concave shoreline,Petr
concave shoreline,Petra
concave shoreline,Petro
concave shoreline,Red
concave shoreline,Redo
concave shoreline,Redon
concave shoreline,Redond
concave shoreline,Riv
concave shoreline,Riva
concave shoreline,Rivas
concave shoreline,Rivasa
concave shoreline,Sal
concave shoreline,Sali
concave shoreline,Salin
concave shoreline,Salina
concave shoreline,Tar
concave shoreline,Tari
concave shoreline,Tarid
concave shoreline,Tarida
concave shoreline,Tei
concave shoreline,Teid
concave shoreline,Teide
concave shoreline,Teiden
concave shoreline,Tir
concave shoreline,Tira
concave shoreline,Tiran
concave shoreline,Tirant
concave shoreline,Vir
concave shoreline,Virg
concave shoreline,Virgi
concave shoreline,Virgil
concave shoreline,d’O
concave shoreline,d’Or
concave shoreline,Ábi
concave shoreline,Ábil
concave shoreline,Ábila
convex shoreline,Agu
convex shoreline,Agua
convex shoreline,Aguam
convex shoreline,Aguamí
convex shoreline,Agud
convex shoreline,Agude
convex shoreline,Agudel
convex shoreline,Agui
convex shoreline,Aguie
convex shoreline,Aguiei
convex shoreline,Alc
convex shoreline,Alca
convex shoreline,Alcal
convex shoreline,Alcalá
convex shoreline,Ama
convex shoreline,Amac
convex shoreline,Amaca
convex shoreline,Amacas
convex shoreline,Amacu
convex shoreline,Amacus
convex shoreline,Anc
convex shoreline,Anch
convex shoreline,Ancha
convex shoreline,Ang
convex shoreline,Angu
convex shoreline,Angui
convex shoreline,Anguil
convex shoreline,Are
convex shoreline,Arei
convex shoreline,Areiñ
convex shoreline,Areiño
convex shoreline,Ata
convex shoreline,Atal
convex shoreline,Atala
convex shoreline,Atalay
convex shoreline,Avi
convex shoreline,Avia
convex shoreline,Aviao
convex shoreline,Baj
convex shoreline,Baji
convex shoreline,Bajit
convex shoreline,Bajita
convex shoreline,Bar
convex shoreline,Barc
convex shoreline,Barce
convex shoreline,Barcel
convex shoreline,Bec
convex shoreline,Beca
convex shoreline,Bla
convex shoreline,Blan
convex shoreline,Blanc
