industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,354
COMMUNICATIONS,4iG,12
COMMUNICATIONS,GROUP,12
COMMUNICATIONS,Paprika,18
COMMUNICATIONS,SUBGROUP,12
CONSUMER DISCRETIONARY,<NONE>,4842
CONSUMER DISCRETIONARY,AUDI,12
CONSUMER DISCRETIONARY,AVALON,12
CONSUMER DISCRETIONARY,AW,12
CONSUMER DISCRETIONARY,Alexandra,18
CONSUMER DISCRETIONARY,AmRest,12
CONSUMER DISCRETIONARY,Anubis,12
CONSUMER DISCRETIONARY,BL,12
CONSUMER DISCRETIONARY,BMW,12
CONSUMER DISCRETIONARY,BidCo,12
CONSUMER DISCRETIONARY,C,12
CONSUMER DISCRETIONARY,Café,18
CONSUMER DISCRETIONARY,Ceglédi,12
CONSUMER DISCRETIONARY,CÉL,12
CONSUMER DISCRETIONARY,EGLO,12
CONSUMER DISCRETIONARY,Eurotrade,18
CONSUMER DISCRETIONARY,Fehérvár,12
CONSUMER DISCRETIONARY,Flow,18
CONSUMER DISCRETIONARY,Fusion,12
CONSUMER DISCRETIONARY,GAMER,12
CONSUMER DISCRETIONARY,GROUP,210
CONSUMER DISCRETIONARY,HAUSER,12
CONSUMER DISCRETIONARY,HB,12
CONSUMER DISCRETIONARY,HORTUS,24
CONSUMER DISCRETIONARY,HOTEL,18
CONSUMER DISCRETIONARY,Hanon,12
CONSUMER DISCRETIONARY,Hungaro,12
CONSUMER DISCRETIONARY,Hungast,12
CONSUMER DISCRETIONARY,Kristóf,12
CONSUMER DISCRETIONARY,LEGO,12
CONSUMER DISCRETIONARY,Le,12
CONSUMER DISCRETIONARY,M1,12
CONSUMER DISCRETIONARY,MAGYAR,12
CONSUMER DISCRETIONARY,MARSO,12
CONSUMER DISCRETIONARY,MBM,12
CONSUMER DISCRETIONARY,MMXH,12
CONSUMER DISCRETIONARY,Magyar,12
CONSUMER DISCRETIONARY,Media,24
CONSUMER DISCRETIONARY,OBI,30
CONSUMER DISCRETIONARY,OMV,12
CONSUMER DISCRETIONARY,OXYGEN,18
CONSUMER DISCRETIONARY,Pappas,12
CONSUMER DISCRETIONARY,Porsche,12
CONSUMER DISCRETIONARY,Pásztor,12
CONSUMER DISCRETIONARY,RUPESKY,12
CONSUMER DISCRETIONARY,SCHILLER,12
CONSUMER DISCRETIONARY,SK,12
CONSUMER DISCRETIONARY,SUBGROUP,30
CONSUMER DISCRETIONARY,Samsung,12
CONSUMER DISCRETIONARY,Schaeffler,12
CONSUMER DISCRETIONARY,Simon,12
CONSUMER DISCRETIONARY,Sportmax,12
CONSUMER DISCRETIONARY,Subgroup,12
CONSUMER DISCRETIONARY,Szegedi,12
CONSUMER DISCRETIONARY,Sztárai,12
CONSUMER DISCRETIONARY,TRUCK,24
CONSUMER DISCRETIONARY,Volta,12
CONSUMER DISCRETIONARY,Volvo,12
CONSUMER DISCRETIONARY,Wallis,24
CONSUMER STAPLES,<NONE>,6798
CONSUMER STAPLES,Agro,12
CONSUMER STAPLES,Alba,18
CONSUMER STAPLES,Alföldi,12
CONSUMER STAPLES,B.T.,12
CONSUMER STAPLES,BENU,240
CONSUMER STAPLES,BETA,12
CONSUMER STAPLES,BORSODI,12
CONSUMER STAPLES,BUDACONSUM,12
CONSUMER STAPLES,Berettyómenti,12
CONSUMER STAPLES,Bonafarm,12
CONSUMER STAPLES,Bonbonetti,12
CONSUMER STAPLES,Buzakalasz,12
CONSUMER STAPLES,Bábolna,18
CONSUMER STAPLES,CBA,30
CONSUMER STAPLES,CENTRUM,12
CONSUMER STAPLES,CITY,12
CONSUMER STAPLES,CLA,30
CONSUMER STAPLES,CO-OP,18
CONSUMER STAPLES,CORNMILL,12
CONSUMER STAPLES,CRYSTAL,12
CONSUMER STAPLES,Compania,12
CONSUMER STAPLES,Csepregi,12
CONSUMER STAPLES,Dr.,42
CONSUMER STAPLES,Duna,18
CONSUMER STAPLES,Elsõ,12
CONSUMER STAPLES,G,12
CONSUMER STAPLES,GROUP,450
CONSUMER STAPLES,HANSA,12
CONSUMER STAPLES,Hunland,18
CONSUMER STAPLES,Háda,12
CONSUMER STAPLES,Hóman,18
